onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
29.589	0.2	0	0	0	38	0	15	2	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	C	0	0	0	72.0371657000505	72.237582700036
29.989	0.2	1	0	0	38	1	3	8	0	0	0	stim004_stimuli_original_animals_birds_4.png	K	0	0	0	72.4371694000438	72.6371692000539
30.389	0.2	2	0	0	38	2	10	0	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	A	0	0	0	72.8371803000337	73.0371788000339
30.789	0.2	3	0	0	38	3	11	6	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	G	0	0	0	73.2371908000205	73.4371891000192
31.189	0.2	4	0	0	38	4	4	11	0	0	0	stim005_stimuli_original_animals_fish_1.png	R	0	0	0	73.6372005000012	73.837198000052
31.589	0.2	5	0	0	38	5	14	14	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	V	0	0	0	74.0372109000455	74.237209700048
31.989	0.2	6	0	0	38	6	8	5	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	74.4372214000323	74.6372198000317
32.389	0.2	7	0	0	38	7	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	74.8372442000546	75.0372349000536
32.789	0.2	8	0	0	38	8	8	9	1	0	1	stim009_stimuli_original_vehicles_boats_1.png	L	0	0	0	75.2372413000558	75.4372440000298
33.189	0.2	9	0	0	38	9	5	7	0	0	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	75.6372537999996	75.8372520000557
33.589	0.2	10	0	0	38	10	0	5	0	1	0	stim001_stimuli_original_animals_birds_1.png	F	0	0	0	76.0372617000248	76.2372611000319
33.989	0.2	11	0	0	38	11	12	10	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	Q	NaN	76.6290862000315	1	76.4372726000147	76.6372732000309
34.389	0.2	12	0	0	38	12	13	5	0	1	0	stim014_stimuli_original_vehicles_planes_2.png	F	0	0	0	76.8372845000122	77.0372852000291
34.789	0.2	13	0	0	38	13	8	1	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	B	NaN	77.4290974000469	1	77.2372945000534	77.4372927000513
35.19	0.2	14	0	0	38	14	9	4	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	E	0	0	0	77.6374930000165	77.8373070000089
35.589	0.2	15	0	0	38	15	1	13	0	0	0	stim002_stimuli_original_animals_birds_2.png	U	0	0	0	78.0373164000339	78.2373159000417
35.989	0.2	16	0	0	38	16	2	3	0	0	0	stim003_stimuli_original_animals_birds_3.png	D	0	0	0	78.4373258000123	78.6373230000027
36.389	0.2	17	0	0	38	17	7	15	0	0	0	stim008_stimuli_original_animals_fish_4.png	Y	0	0	0	78.8373353000497	79.0373354000039
36.789	0.2	18	0	0	38	18	15	7	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	J	0	0	0	79.2373454000335	79.4373458000482
37.189	0.2	19	0	0	38	19	3	2	0	0	0	stim004_stimuli_original_animals_birds_4.png	C	0	0	0	79.6373558000196	79.8373616000172
37.589	0.2	20	0	0	38	20	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	80.0373675000155	80.2373677000287
37.99	0.2	21	0	0	38	21	4	9	0	0	0	stim005_stimuli_original_animals_fish_1.png	L	0	0	0	80.4373777000001	80.6373818000429
38.39	0.2	22	0	0	38	22	1	8	0	0	0	stim002_stimuli_original_animals_birds_2.png	K	0	0	0	80.8373883000459	81.0373854000354
38.79	0.2	23	0	0	38	23	5	13	1	0	0	stim006_stimuli_original_animals_fish_2.png	U	0	0	0	81.2373985000304	81.4374001000542
39.19	0.2	24	0	0	38	24	10	12	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	T	0	0	0	81.6374086000142	81.8374086000258
39.59	0.2	25	0	0	38	25	5	0	1	0	1	stim006_stimuli_original_animals_fish_2.png	A	0	0	0	82.0374196000048	82.2374176000012
39.99	0.2	26	0	0	38	26	7	5	0	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	82.437429200043	82.6374497000361
40.39	0.2	27	0	0	38	27	9	8	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	K	0	0	0	82.8374551000306	83.0374404000468
40.79	0.2	28	0	0	38	28	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	83.2374501000158	83.4374494000222
41.19	0.2	29	0	0	38	29	5	8	0	1	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	83.6374626000179	83.8374610000174
41.59	0.2	30	0	0	38	30	14	14	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	V	NaN	84.0300144000212	1	84.0374690000317	84.2374715000042
41.99	0.2	31	0	0	38	31	11	4	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	E	0	0	0	84.4374827000429	84.6374803000363
42.39	0.2	32	0	0	38	32	6	11	0	0	0	stim007_stimuli_original_animals_fish_3.png	R	0	0	0	84.8374919000198	85.0374938000459
42.79	0.2	33	0	0	38	33	0	10	0	0	0	stim001_stimuli_original_animals_birds_1.png	Q	0	0	0	85.2375048000249	85.4375031000236
43.19	0.2	34	0	0	38	34	8	3	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	D	0	0	0	85.6375132000539	85.837512500002
43.59	0.2	35	0	0	38	35	2	15	0	0	0	stim003_stimuli_original_animals_birds_3.png	Y	0	0	0	86.0375238000415	86.2375220000395
45.606	0.2	36	1	1	10	0	1	0	0	0	0	stim002_stimuli_original_animals_birds_2.png	A	0	0	0	88.0542800000403	88.2542434000061
46.006	0.2	37	1	1	10	1	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	88.4542560000555	88.6542522000382
46.406	0.2	38	1	1	10	2	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	88.854263700021	89.0542609000113
46.806	0.2	39	1	1	10	3	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	89.2542798000504	89.454277300043
47.206	0.2	40	1	1	10	4	0	10	0	0	0	stim001_stimuli_original_animals_birds_1.png	Q	0	0	0	89.6542877000174	89.8542860000161
47.606	0.2	41	1	1	10	5	14	3	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	D	0	0	0	90.0542934000259	90.2542963000014
48.006	0.2	42	1	1	10	6	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	90.4543081000447	90.6543057000381
48.406	0.2	43	1	1	10	7	15	15	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	Y	0	0	0	90.8543171000201	91.0543201000546
48.806	0.2	44	1	1	10	8	11	4	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	E	0	0	0	91.2543262000545	91.4543262000079
49.206	0.2	45	1	1	10	9	15	13	1	1	0	stim016_stimuli_original_vehicles_planes_4.png	U	0	0	0	91.6543371000444	91.8543374000001
49.606	0.2	46	1	1	10	10	7	14	0	0	0	stim008_stimuli_original_animals_fish_4.png	V	0	0	0	92.0543463000213	92.2543475000421
50.006	0.2	47	1	1	10	11	12	13	0	1	1	stim013_stimuli_original_vehicles_planes_1.png	U	0	0	0	92.4543595000287	92.6543589000357
