onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
16009.5	100	0	0	1	22	0	13	4	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	E	0	0	0	79.79815100017	79.9981590001844
16109.75	100	1	0	1	22	1	15	7	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	J	0	0	0	80.198726200033	80.3981546000578
16209.5	100	2	0	1	22	2	14	2	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	C	0	0	0	80.598156100139	80.7981547000818
16309.5	100	3	0	1	22	3	10	11	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	R	0	0	0	80.9981660000049	81.1981642001774
16409.5	100	4	0	1	22	4	3	12	0	0	0	stim004_stimuli_original_animals_birds_4.png	T	0	0	0	81.3981763001066	81.5981753000524
16509.5	100	5	0	1	22	5	2	5	0	0	0	stim003_stimuli_original_animals_birds_3.png	F	0	0	0	81.7981880002189	81.9981882001739
16609.5	100	6	0	1	22	6	1	6	0	0	0	stim002_stimuli_original_animals_birds_2.png	G	0	0	0	82.1981991000939	82.3981988001615
16709.5	100	7	0	1	22	7	15	10	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	Q	0	0	0	82.598209900083	82.7982068001293
16809.5	100	8	0	1	22	8	8	8	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	K	0	0	0	82.9982213000767	83.1982191000134
16909.5	100	9	0	1	22	9	15	15	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	Y	0	0	0	83.3982316001784	83.5982292999979
17009.5	100	10	0	1	22	10	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	83.7982640000992	83.9982530002017
17109.5	100	11	0	1	22	11	0	7	0	1	0	stim001_stimuli_original_animals_birds_1.png	J	0	0	0	84.1982625999954	84.3982670002151
17209.5	100	12	0	1	22	12	5	0	0	0	0	stim006_stimuli_original_animals_fish_2.png	A	0	0	0	84.5982612001244	84.7982622000854
17309.5	100	13	0	1	22	13	11	7	0	1	1	stim012_stimuli_original_vehicles_boats_4.png	J	0	0	0	84.9982741000131	85.1982716000639
17409.5	100	14	0	1	22	14	7	13	0	0	0	stim008_stimuli_original_animals_fish_4.png	U	0	0	0	85.3982842999976	85.598519799998
17509.5	100	15	0	1	22	15	12	14	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	V	0	0	0	85.7982982001267	85.9982983001973
17609.5	100	16	0	1	22	16	6	3	0	0	0	stim007_stimuli_original_animals_fish_3.png	D	0	0	0	86.1983048000839	86.3983038000297
17709.5	100	17	0	1	22	17	4	1	0	0	0	stim005_stimuli_original_animals_fish_1.png	B	0	0	0	86.5983176000882	86.7983160000294
17809.5	100	18	0	1	22	18	1	4	0	0	0	stim002_stimuli_original_animals_birds_2.png	E	0	0	0	86.9983274000697	87.1983258000109
17909.5	100	19	0	1	22	19	3	6	0	0	0	stim004_stimuli_original_animals_birds_4.png	G	0	0	0	87.3983370000497	87.5983372000046
18009.5	100	20	0	1	22	20	14	12	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	T	0	0	0	87.7983548000921	87.9983461000957
18109.5	100	21	0	1	22	21	13	7	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	J	0	0	0	88.1983585001435	88.3983581000939
18209.5	100	22	0	1	22	22	7	11	1	0	0	stim008_stimuli_original_animals_fish_4.png	R	0	0	0	88.5983678000048	88.7983688001987
18309.5	100	23	0	1	22	23	0	5	0	0	0	stim001_stimuli_original_animals_birds_1.png	F	f	89.190175200114	0	88.9983789001126	89.1983817000873
18409.5	100	24	0	1	22	24	7	0	1	0	0	stim008_stimuli_original_animals_fish_4.png	A	0	0	0	89.3983913001139	89.5983909000643
18509.5	100	25	0	1	22	25	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	89.7984045001213	89.998401200166
18609.5	100	26	0	1	22	26	15	15	0	1	0	stim016_stimuli_original_vehicles_planes_4.png	Y	0	0	0	90.198412100086	90.3984142001718
18709.5	100	27	0	1	22	27	8	8	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	K	0	0	0	90.5984231000766	90.7984244001564
18809.5	100	28	0	1	22	28	10	15	0	1	1	stim011_stimuli_original_vehicles_boats_3.png	Y	0	0	0	90.9984336001799	91.1984326001257
18909.5	100	29	0	1	22	29	6	1	0	0	0	stim007_stimuli_original_animals_fish_3.png	B	f	91.5902488001157	1	91.3984447000548	91.5984556002077
19009.5	100	30	0	1	22	30	5	2	0	0	0	stim006_stimuli_original_animals_fish_2.png	C	0	0	0	91.7984677001368	91.9984728000127
19109.5	100	31	0	1	22	31	12	3	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	D	0	0	0	92.1984790000133	92.3984748001676
19209.5	100	32	0	1	22	32	11	10	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	Q	0	0	0	92.5984882002231	92.7984872001689
19309.5	100	33	0	1	22	33	2	14	0	0	0	stim003_stimuli_original_animals_birds_3.png	V	0	0	0	92.9985162001103	93.1984981000423
19409.5	100	34	0	1	22	34	7	15	0	0	0	stim008_stimuli_original_animals_fish_4.png	Y	0	0	0	93.3985118002165	93.5985121000558
19509.5	100	35	0	1	22	35	4	13	0	0	0	stim005_stimuli_original_animals_fish_1.png	U	0	0	0	93.7985193000641	93.9985197000206
21947.25	100	36	1	0	41	0	7	3	0	0	0	stim008_stimuli_original_animals_fish_4.png	D	0	0	0	103.548770599999	103.748770400183
22047.25	100	37	1	0	41	1	10	14	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	V	0	0	0	103.948781000217	104.148780000163
22147.25	100	38	1	0	41	2	14	2	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	C	0	0	0	104.348794799997	104.548792600166
22247.25	100	39	1	0	41	3	4	10	0	0	0	stim005_stimuli_original_animals_fish_1.png	Q	0	0	0	104.748805100098	104.948800500017
