onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
19598	100	0	0	0	36	0	14	1	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	B	0	0	0	104.346593599999	104.547108399915
19698	100	1	0	0	36	1	4	9	0	0	0	stim005_stimuli_original_animals_fish_1.png	L	0	0	0	104.746580199921	104.946575499955
19798	100	2	0	0	36	2	9	8	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	K	0	0	0	105.146587900002	105.346591299982
19898	100	3	0	0	36	3	5	3	0	0	0	stim006_stimuli_original_animals_fish_2.png	D	0	0	0	105.546597799985	105.746600499959
19998	100	4	0	0	36	4	0	11	0	0	0	stim001_stimuli_original_animals_birds_1.png	R	0	0	0	105.946608499973	106.146608499927
20098	100	5	0	0	36	5	1	13	0	0	0	stim002_stimuli_original_animals_birds_2.png	U	0	0	0	106.346617999952	106.546617499902
20198	100	6	0	0	36	6	10	2	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	C	0	0	0	106.746629399946	106.9466273
20298	100	7	0	0	36	7	7	5	0	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	107.146641999949	107.346641100012
20398	100	8	0	0	36	8	0	12	1	0	0	stim001_stimuli_original_animals_birds_1.png	T	0	0	0	107.546650699922	107.746650099987
20498	100	9	0	0	36	9	6	15	0	0	0	stim007_stimuli_original_animals_fish_3.png	Y	0	0	0	107.946662199916	108.146660999977
20598	100	10	0	0	36	10	0	13	1	1	1	stim001_stimuli_original_animals_birds_1.png	U	0	0	0	108.346683199983	108.546671899967
20698	100	11	0	0	36	11	11	0	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	A	0	0	0	108.746681599994	108.946680899942
20798	100	12	0	0	36	12	15	13	0	1	0	stim016_stimuli_original_vehicles_planes_4.png	U	0	0	0	109.146692899987	109.346691599931
20898	100	13	0	0	36	13	12	10	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	Q	0	0	0	109.546703599975	109.746701799915
20998	100	14	0	0	36	14	13	4	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	E	0	0	0	109.947005999973	110.14671859995
21098	100	15	0	0	36	15	3	7	0	0	0	stim004_stimuli_original_animals_birds_4.png	J	d	110.538516199915	1	110.346724999952	110.546725299908
21198	100	16	0	0	36	16	2	14	0	0	0	stim003_stimuli_original_animals_birds_3.png	V	0	0	0	110.74673689995	110.946734900004
21298	100	17	0	0	36	17	8	6	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	G	0	0	0	111.14674659993	111.346750699915
21398	100	18	0	0	36	18	6	8	0	0	0	stim007_stimuli_original_animals_fish_3.png	K	0	0	0	111.546756799915	111.74677149998
21498	100	19	0	0	36	19	14	2	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	C	0	0	0	111.946770899929	112.146766499965
21598	100	20	0	0	36	20	7	3	0	0	0	stim008_stimuli_original_animals_fish_4.png	D	0	0	0	112.346778600011	112.54677669995
21698	100	21	0	0	36	21	4	13	0	0	0	stim005_stimuli_original_animals_fish_1.png	U	d	112.747479200014	0	112.746789800003	112.946789399954
21798	100	22	0	0	36	22	10	12	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	T	0	0	0	113.146798699978	113.346798199927
21898	100	23	0	0	36	23	13	15	1	0	0	stim014_stimuli_original_vehicles_planes_2.png	Y	0	0	0	113.546810099971	113.746808999917
21998	100	24	0	0	36	24	0	11	0	0	0	stim001_stimuli_original_animals_birds_1.png	R	0	0	0	113.946821199963	114.146822099923
22098	100	25	0	0	36	25	13	0	1	1	1	stim014_stimuli_original_vehicles_planes_2.png	A	0	0	0	114.346835999982	114.546831499902
22198	100	26	0	0	36	26	15	6	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	G	0	0	0	114.746841499931	114.946842600009
22298	100	27	0	0	36	27	12	0	0	1	0	stim013_stimuli_original_vehicles_planes_1.png	A	d	115.139364499948	1	115.146852899925	115.346853399999
22398	100	28	0	0	36	28	5	7	0	0	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	115.546866299934	115.746864199988
22498	100	29	0	0	36	29	2	10	0	0	0	stim003_stimuli_original_animals_birds_3.png	Q	0	0	0	115.946874899906	116.146872299956
22598	100	30	0	0	36	30	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	116.346885700012	116.546883599949
22698	100	31	0	0	36	31	11	0	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	A	0	0	0	116.746898100013	116.94689729996
22798	100	32	0	0	36	32	3	5	0	0	0	stim004_stimuli_original_animals_birds_4.png	F	0	0	0	117.146906399983	117.34690429992
22898	100	33	0	0	36	33	8	9	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	L	0	0	0	117.546918799984	117.746916299919
22998	100	34	0	0	36	34	9	4	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	E	0	0	0	117.946927099954	118.146928899921
23098	100	35	0	0	36	35	1	14	0	0	0	stim002_stimuli_original_animals_birds_2.png	V	0	0	0	118.34693869995	118.546938999905
23773	100	36	1	1	21	0	4	15	0	0	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	121.047040199977	121.247020500014
23873	100	37	1	1	21	1	13	10	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	Q	0	0	0	121.447031999938	121.647030399996
23973	100	38	1	1	21	2	3	1	0	0	0	stim004_stimuli_original_animals_birds_4.png	B	0	0	0	121.84704319993	122.047041699989
24073	100	39	1	1	21	3	9	3	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	D	0	0	0	122.24705669994	122.447052299976
24173	100	40	1	1	21	4	11	12	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	T	0	0	0	122.647066499921	122.84706629999
24273	100	41	1	1	21	5	2	6	0	0	0	stim003_stimuli_original_animals_birds_3.png	G	0	0	0	123.047076199902	123.247072799946
24373	100	42	1	1	21	6	12	13	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	U	0	0	0	123.447089599911	123.64708689996
24473	100	43	1	1	21	7	1	14	0	0	0	stim002_stimuli_original_animals_birds_2.png	V	0	0	0	123.847095999983	124.047096299939
24573	100	44	1	1	21	8	7	8	0	0	0	stim008_stimuli_original_animals_fish_4.png	K	0	0	0	124.247107699979	124.447106399923
24673	100	45	1	1	21	9	11	7	1	0	0	stim012_stimuli_original_vehicles_boats_4.png	J	0	0	0	124.647125399904	124.847116599907
24773	100	46	1	1	21	10	10	0	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	A	0	0	0	125.047128099948	125.247132499935
24873	100	47	1	1	21	11	11	9	1	0	0	stim012_stimuli_original_vehicles_boats_4.png	L	0	0	0	125.447139899945	125.647138200002
24973	100	48	1	1	21	12	15	8	0	1	0	stim016_stimuli_original_vehicles_planes_4.png	K	0	0	0	125.847150799935	126.047148299986
25073	100	49	1	1	21	13	5	2	0	0	0	stim006_stimuli_original_animals_fish_2.png	C	0	0	0	126.247159099905	126.447161999997
25173	100	50	1	1	21	14	6	8	0	1	1	stim007_stimuli_original_animals_fish_3.png	K	d	126.639707499999	1	126.647158999927	126.847161200014
25273	100	51	1	1	21	15	0	5	0	0	0	stim001_stimuli_original_animals_birds_1.png	F	0	0	0	127.047170199919	127.247168199974
25373	100	52	1	1	21	16	14	11	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	R	0	0	0	127.447180699906	127.647183399997
25473	100	53	1	1	21	17	8	4	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	E	0	0	0	127.847192299902	128.047194199986
25573	100	54	1	1	21	18	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	128.247203200008	128.447200699942
25673	100	55	1	1	21	19	11	14	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	V	0	0	0	128.647212299984	128.847211999935
25773	100	56	1	1	21	20	5	0	0	0	0	stim006_stimuli_original_animals_fish_2.png	A	0	0	0	129.047226299997	129.247222499922
25873	100	57	1	1	21	21	8	6	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	G	0	0	0	129.447235199972	129.647232999909
25973	100	58	1	1	21	22	2	5	0	0	0	stim003_stimuli_original_animals_birds_3.png	F	0	0	0	129.847245299956	130.04724320001
26073	100	59	1	1	21	23	8	15	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	Y	0	0	0	130.247253899928	130.447254700004
26173	100	60	1	1	21	24	9	11	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	R	0	0	0	130.647265399923	130.847263499978
26273	100	61	1	1	21	25	0	10	0	0	0	stim001_stimuli_original_animals_birds_1.png	Q	0	0	0	131.047275699908	131.247274799971
26373	100	62	1	1	21	26	7	11	0	1	1	stim008_stimuli_original_animals_fish_4.png	R	0	0	0	131.447289299918	131.647287399974
26473	100	63	1	1	21	27	8	7	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	J	0	0	0	131.847297	132.047297399957
26573.25	100	64	1	1	21	28	14	1	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	B	0	0	0	132.247307999991	132.447306699934
26673.25	100	65	1	1	21	29	13	12	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	T	0	0	0	132.647319399985	132.847317899927
26773.25	100	66	1	1	21	30	6	2	0	0	0	stim007_stimuli_original_animals_fish_3.png	C	0	0	0	133.047330399975	133.247330099926
26873.25	100	67	1	1	21	31	12	11	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	R	0	0	0	133.447337399935	133.647339499905
26973.25	100	68	1	1	21	32	3	9	0	0	0	stim004_stimuli_original_animals_birds_4.png	L	0	0	0	133.847352699959	134.047351699905
27073.25	100	69	1	1	21	33	1	3	0	0	0	stim002_stimuli_original_animals_birds_2.png	D	0	0	0	134.247368599987	134.447360899998
27173.25	100	70	1	1	21	34	10	13	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	U	0	0	0	134.647374099935	134.847371699987
27273.25	100	71	1	1	21	35	15	4	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	E	0	0	0	135.047383199912	135.247382499976
