onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
23896	100	0	0	1	27	0	5	12	0	0	0	stim006_stimuli_original_animals_fish_2.png	T	0	0	0	83.6543534999946	83.85434849991
23996.25	100	1	0	1	27	1	8	4	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	E	0	0	0	84.0548717000056	84.2543501999462
24096	100	2	0	1	27	2	1	6	0	0	0	stim002_stimuli_original_animals_birds_2.png	G	0	0	0	84.4543433999643	84.654341199901
24196	100	3	0	1	27	3	13	8	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	K	0	0	0	84.8543541999534	85.0543775999686
24296	100	4	0	1	27	4	6	13	1	0	0	stim007_stimuli_original_animals_fish_3.png	U	0	0	0	85.2543751999037	85.4543761999812
24396	100	5	0	1	27	5	15	9	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	L	0	0	0	85.6543878999073	85.8544123999309
24496	100	6	0	1	27	6	6	14	1	0	0	stim007_stimuli_original_animals_fish_3.png	V	0	0	0	86.0543950999854	86.2543936999282
24596	100	7	0	1	27	7	14	7	0	1	0	stim015_stimuli_original_vehicles_planes_3.png	J	0	0	0	86.4544189999579	86.6543952999637
24696	100	8	0	1	27	8	7	3	0	0	0	stim008_stimuli_original_animals_fish_4.png	D	0	0	0	86.8544077998959	87.0544049999444
24796	100	9	0	1	27	9	10	7	0	1	1	stim011_stimuli_original_vehicles_boats_3.png	J	0	0	0	87.2544168999884	87.4544154999312
24896	100	10	0	1	27	10	6	11	0	0	0	stim007_stimuli_original_animals_fish_3.png	R	d	87.8462188999401	1	87.6544284999836	87.8544274999294
24996	100	11	0	1	27	11	4	2	0	0	0	stim005_stimuli_original_animals_fish_1.png	C	0	0	0	88.0544426999986	88.2544393999269
25096	100	12	0	1	27	12	0	7	0	0	0	stim001_stimuli_original_animals_birds_1.png	J	0	0	0	88.4544622999383	88.6544489999069
25196	100	13	0	1	27	13	3	15	0	0	0	stim004_stimuli_original_animals_birds_4.png	Y	0	0	0	88.8544615999563	89.0544642999303
25296	100	14	0	1	27	14	2	1	0	0	0	stim003_stimuli_original_animals_birds_3.png	B	0	0	0	89.2544822999043	89.4547454999993
25396	100	15	0	1	27	15	12	10	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	Q	0	0	0	89.6544893999817	89.8544822999975
25496	100	16	0	1	27	16	9	0	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	A	0	0	0	90.0544926999137	90.2544923999812
25596	100	17	0	1	27	17	11	5	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	F	0	0	0	90.4545061999233	90.6544963999186
25696	100	18	0	1	27	18	5	11	0	0	0	stim006_stimuli_original_animals_fish_2.png	R	0	0	0	90.8545119999908	91.0545195000013
25796	100	19	0	1	27	19	0	9	0	0	0	stim001_stimuli_original_animals_birds_1.png	L	0	0	0	91.2545230999822	91.4545230999356
25896	100	20	0	1	27	20	10	12	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	T	0	0	0	91.6545384000055	91.8545329999179
25996	100	21	0	1	27	21	1	2	0	0	0	stim002_stimuli_original_animals_birds_2.png	C	0	0	0	92.0545463999733	92.2545438999077
26096	100	22	0	1	27	22	15	3	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	D	0	0	0	92.4545543999411	92.6545543998946
26196	100	23	0	1	27	23	7	0	0	0	0	stim008_stimuli_original_animals_fish_4.png	A	0	0	0	92.8545655999333	93.0545650999993
26296	100	24	0	1	27	24	2	4	0	0	0	stim003_stimuli_original_animals_birds_3.png	E	0	0	0	93.2546054999111	93.4545816999162
26396	100	25	0	1	27	25	11	6	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	G	0	0	0	93.6545889999252	93.8546089999145
26496	100	26	0	1	27	26	7	10	1	0	0	stim008_stimuli_original_animals_fish_4.png	Q	0	0	0	94.0545982999029	94.254598999978
26596	100	27	0	1	27	27	3	7	0	0	0	stim004_stimuli_original_animals_birds_4.png	J	0	0	0	94.4546113999095	94.6546087999595
26696	100	28	0	1	27	28	7	14	1	0	0	stim008_stimuli_original_animals_fish_4.png	V	0	0	0	94.8546211000066	95.0546203999547
26796	100	29	0	1	27	29	14	6	0	1	0	stim015_stimuli_original_vehicles_planes_3.png	G	0	0	0	95.2546336000087	95.4546305999393
26896.25	100	30	0	1	27	30	9	15	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	Y	d	95.8464307999238	0	95.6546418999787	95.8546663000016
26996.25	100	31	0	1	27	31	13	6	0	1	1	stim014_stimuli_original_vehicles_planes_2.png	G	0	0	0	96.0546539999777	96.2546498999
27096.25	100	32	0	1	27	32	8	13	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	U	0	0	0	96.4546843999997	96.6546620998997
27196.25	100	33	0	1	27	33	6	1	0	0	0	stim007_stimuli_original_animals_fish_3.png	B	0	0	0	96.8546742999461	97.0546718999976
27296.25	100	34	0	1	27	34	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	97.2546844999306	97.4546826999867
27396.25	100	35	0	1	27	35	12	5	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	F	0	0	0	97.6546948999166	97.854694699985
